Read when charge was around 93%


Register 349 raw value: 0 | 0x0
Register 350 raw value: 0 | 0x0
Register 351 raw value: 11 | 0xb
Register 352 raw value: 0 | 0x0
Register 353 raw value: 0 | 0x0
Register 354 raw value: 0 | 0x0
Register 355 raw value: 1 | 0x1
Register 356 raw value: 77 | 0x4d
Register 357 raw value: 0 | 0x0
Register 358 raw value: 0 | 0x0
Register 359 raw value: 0 | 0x0
Register 360 raw value: 0 | 0x0
Register 361 raw value: 0 | 0x0
Register 362 raw value: 0 | 0x0
Register 363 raw value: 0 | 0x0
Register 364 raw value: 0 | 0x0
Register 365 raw value: 0 | 0x0
Register 366 raw value: 0 | 0x0
Register 367 raw value: 0 | 0x0
Register 368 raw value: 0 | 0x0
Register 369 raw value: 0 | 0x0
Register 370 raw value: 0 | 0x0
Register 371 raw value: 0 | 0x0
Register 372 raw value: 0 | 0x0
Register 373 raw value: 0 | 0x0
Register 374 raw value: 0 | 0x0
Register 375 raw value: 0 | 0x0
Register 376 raw value: 0 | 0x0
Register 377 raw value: 0 | 0x0
Register 378 raw value: 0 | 0x0
Register 379 raw value: 0 | 0x0
Register 380 raw value: 0 | 0x0
Register 381 raw value: 0 | 0x0
Register 382 raw value: 0 | 0x0
Register 383 raw value: 0 | 0x0
Register 384 raw value: 0 | 0x0
Register 385 raw value: 0 | 0x0
Register 386 raw value: 0 | 0x0
Register 387 raw value: 0 | 0x0
Register 388 raw value: 0 | 0x0
Register 389 raw value: 0 | 0x0
Register 390 raw value: 0 | 0x0
Register 391 raw value: 0 | 0x0
Register 392 raw value: 0 | 0x0
Register 393 raw value: 0 | 0x0
Register 394 raw value: 0 | 0x0
Register 395 raw value: 0 | 0x0
Register 396 raw value: 0 | 0x0
Register 397 raw value: 0 | 0x0
Register 398 raw value: 0 | 0x0
Register 399 raw value: 0 | 0x0
Register 400 raw value: 0 | 0x0
Register 401 raw value: 0 | 0x0
Register 402 raw value: 0 | 0x0
Register 403 raw value: 0 | 0x0
Register 404 raw value: 0 | 0x0
Register 405 raw value: 0 | 0x0
Register 406 raw value: 0 | 0x0
Register 407 raw value: 0 | 0x0
Register 408 raw value: 0 | 0x0
Register 409 raw value: 0 | 0x0
Register 410 raw value: 0 | 0x0
Register 411 raw value: 0 | 0x0
Register 412 raw value: 0 | 0x0
Register 413 raw value: 0 | 0x0
Register 414 raw value: 0 | 0x0
Register 415 raw value: 0 | 0x0
Register 416 raw value: 0 | 0x0
Register 417 raw value: 0 | 0x0
Register 418 raw value: 0 | 0x0
Register 419 raw value: 0 | 0x0
Register 420 raw value: 0 | 0x0
Register 421 raw value: 0 | 0x0
Register 422 raw value: 0 | 0x0
Register 423 raw value: 0 | 0x0
Register 424 raw value: 0 | 0x0
Register 425 raw value: 0 | 0x0
Register 426 raw value: 0 | 0x0
Register 427 raw value: 0 | 0x0
Register 428 raw value: 0 | 0x0
Register 429 raw value: 0 | 0x0
Register 430 raw value: 0 | 0x0
Register 431 raw value: 0 | 0x0
Register 432 raw value: 0 | 0x0
Register 433 raw value: 0 | 0x0
Register 434 raw value: 0 | 0x0
Register 435 raw value: 0 | 0x0
Register 436 raw value: 0 | 0x0
Register 437 raw value: 0 | 0x0
Register 438 raw value: 0 | 0x0
Register 439 raw value: 0 | 0x0
Register 440 raw value: 0 | 0x0
Register 441 raw value: 0 | 0x0
Register 442 raw value: 0 | 0x0
Register 443 raw value: 0 | 0x0
Register 444 raw value: 0 | 0x0
Register 445 raw value: 0 | 0x0
Register 446 raw value: 0 | 0x0
Register 447 raw value: 0 | 0x0
Register 448 raw value: 0 | 0x0
Register 449 raw value: 0 | 0x0
Register 450 raw value: 0 | 0x0
Register 451 raw value: 0 | 0x0
Register 452 raw value: 0 | 0x0
Register 453 raw value: 0 | 0x0
Register 454 raw value: 0 | 0x0
Register 455 raw value: 0 | 0x0
Register 456 raw value: 0 | 0x0
Register 457 raw value: 0 | 0x0
Register 458 raw value: 0 | 0x0
Register 459 raw value: 0 | 0x0
Register 460 raw value: 0 | 0x0
Register 461 raw value: 0 | 0x0
Register 462 raw value: 0 | 0x0
Register 463 raw value: 0 | 0x0
Register 464 raw value: 0 | 0x0
Register 465 raw value: 0 | 0x0
Register 466 raw value: 0 | 0x0
Register 467 raw value: 0 | 0x0
Register 468 raw value: 0 | 0x0
Register 469 raw value: 0 | 0x0
Register 470 raw value: 0 | 0x0
Register 471 raw value: 0 | 0x0
Register 472 raw value: 0 | 0x0
Register 473 raw value: 0 | 0x0
Register 474 raw value: 0 | 0x0
Register 475 raw value: 0 | 0x0
Register 476 raw value: 0 | 0x0
Register 477 raw value: 0 | 0x0
Register 478 raw value: 0 | 0x0
Register 479 raw value: 0 | 0x0
Register 480 raw value: 0 | 0x0
Register 481 raw value: 0 | 0x0
Register 482 raw value: 0 | 0x0
Register 483 raw value: 0 | 0x0
Register 484 raw value: 0 | 0x0
Register 485 raw value: 0 | 0x0
Register 486 raw value: 0 | 0x0
Register 487 raw value: 0 | 0x0
Register 488 raw value: 0 | 0x0
Register 489 raw value: 0 | 0x0
Register 490 raw value: 0 | 0x0
Register 491 raw value: 0 | 0x0
Register 492 raw value: 0 | 0x0
Register 493 raw value: 0 | 0x0
Register 494 raw value: 0 | 0x0
Register 495 raw value: 0 | 0x0
Register 496 raw value: 0 | 0x0
Register 497 raw value: 0 | 0x0
Register 498 raw value: 0 | 0x0
Register 499 raw value: 0 | 0x0
Register 500 raw value: 0 | 0x0
Register 501 raw value: 0 | 0x0
Register 502 raw value: 0 | 0x0
Register 503 raw value: 0 | 0x0
Register 504 raw value: 0 | 0x0
Register 505 raw value: 0 | 0x0
Register 506 raw value: 0 | 0x0
Register 507 raw value: 0 | 0x0
Register 508 raw value: 0 | 0x0
Register 509 raw value: 27684 | 0x6c24
Register 510 raw value: 27768 | 0x6c78
Register 511 raw value: 192 | 0xc0
Register 512 raw value: 20 | 0x14
Register 513 raw value: 0 | 0x0
Register 514 raw value: 0 | 0x0
Register 515 raw value: 65535 | 0xffff
Register 516 raw value: 26916 | 0x6924
Register 517 raw value: 27000 | 0x6978
Register 518 raw value: 192 | 0xc0
Register 519 raw value: 40 | 0x28
Register 520 raw value: 0 | 0x0
Register 521 raw value: 0 | 0x0
Register 522 raw value: 65535 | 0xffff
Register 523 raw value: 26148 | 0x6624
Register 524 raw value: 26232 | 0x6678
Register 525 raw value: 192 | 0xc0
Register 526 raw value: 40 | 0x28
Register 527 raw value: 0 | 0x0
Register 528 raw value: 0 | 0x0
Register 529 raw value: 65535 | 0xffff
Register 530 raw value: 25380 | 0x6324
Register 531 raw value: 25464 | 0x6378
Register 532 raw value: 192 | 0xc0
Register 533 raw value: 40 | 0x28
Register 534 raw value: 0 | 0x0
Register 535 raw value: 0 | 0x0
Register 536 raw value: 65535 | 0xffff
Register 537 raw value: 24612 | 0x6024
Register 538 raw value: 24696 | 0x6078
Register 539 raw value: 192 | 0xc0
Register 540 raw value: 40 | 0x28
Register 541 raw value: 0 | 0x0
Register 542 raw value: 1 | 0x1
Register 543 raw value: 65535 | 0xffff
Register 544 raw value: 23844 | 0x5d24
Register 545 raw value: 23928 | 0x5d78
Register 546 raw value: 192 | 0xc0
